Intercept,Basal,Leaf,Roots,Stem,condition,Basal_condition,Leaf_condition,Roots_condition,Stem_condition
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,1,1,0,0,0
1,1,0,0,0,1,1,0,0,0
1,1,0,0,0,1,1,0,0,0
1,0,1,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0
1,0,1,0,0,1,0,1,0,0
1,0,1,0,0,1,0,1,0,0
1,0,1,0,0,1,0,1,0,0
1,0,0,1,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0
1,0,0,1,0,1,0,0,1,0
1,0,0,1,0,1,0,0,1,0
1,0,0,1,0,1,0,0,1,0
1,0,0,0,1,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0
1,0,0,0,1,1,0,0,0,1
1,0,0,0,1,1,0,0,0,1
1,0,0,0,1,1,0,0,0,1
